call_id,ticker,date,split,horizon,y_true,y_pred,y_persistence
BLK_2020_Q4_20210114,BLK,2021-01-14,train,30,-4.085393071702972,,-4.409908031956388
BLK_2021_Q1_20210415,BLK,2021-04-15,train,30,-4.316672875318625,,-4.238792046203037
BLK_2021_Q2_20210714,BLK,2021-07-14,train,30,-4.300245096062085,,-4.362084928720678
BLK_2021_Q3_20211013,BLK,2021-10-13,train,30,-4.350698369277097,,-4.459273717325518
CCI_2018_Q4_20190124,CCI,2019-01-24,val,30,-4.901334463424647,,-4.257081116438227
CCI_2019_Q1_20190418,CCI,2019-04-18,train,30,-4.562794027023177,,-4.779481320491271
CCI_2019_Q2_20190718,CCI,2019-07-18,train,30,-4.363193278743046,,-4.593861419825793
CCI_2019_Q3_20191017,CCI,2019-10-17,train,30,-4.2092557150139625,,-4.342206421539187
CCI_2019_Q4_20200227,CCI,2020-02-27,val,30,-2.782895833561863,,-4.334820751643243
CCI_2020_Q1_20200430,CCI,2020-04-30,val,30,-3.729871748337079,,-3.071240637466589
CCI_2020_Q2_20200730,CCI,2020-07-30,val,30,-4.2399501570427445,,-4.093743764778001
CCI_2020_Q3_20201022,CCI,2020-10-22,train,30,-4.150862300441572,,-4.264251251569441
CCI_2020_Q4_20210128,CCI,2021-01-28,train,30,-4.181291737833479,,-4.375024807574501
CCI_2021_Q1_20210422,CCI,2021-04-22,val,30,-4.619533405701009,,-4.412940221461475
CCI_2021_Q2_20210722,CCI,2021-07-22,train,30,-4.388221343511257,,-4.61951181937834
CCI_2021_Q3_20211021,CCI,2021-10-21,val,30,-4.39695736278936,,-4.4244589113308175
CL_2018_Q4_20190125,CL,2019-01-25,train,30,-5.006112735826037,,-4.372719412309402
CL_2019_Q1_20190426,CL,2019-04-26,train,30,-4.393137634463624,,-4.940307850883599
CL_2019_Q2_20190726,CL,2019-07-26,val,30,-4.232750334791053,,-4.736775886358407
CL_2019_Q3_20191101,CL,2019-11-01,train,30,-4.682676763207643,,-4.596495241463333
CL_2019_Q4_20200131,CL,2020-01-31,train,30,-3.3965236497254008,,-4.822892158828983
CL_2020_Q1_20200501,CL,2020-05-01,val,30,-4.219961736883736,,-3.663229409164388
CL_2020_Q2_20200731,CL,2020-07-31,train,30,-4.571795663632384,,-4.782832927480914
CL_2020_Q3_20201030,CL,2020-10-30,train,30,-4.4757183309597,,-4.664365384024364
CL_2020_Q4_20210129,CL,2021-01-29,train,30,-4.64666880883174,,-4.767169629116622
CL_2021_Q1_20210430,CL,2021-04-30,train,30,-4.868104355891153,,-4.659124474723424
CL_2021_Q2_20210730,CL,2021-07-30,train,30,-4.482559203158541,,-4.889879637889794
CL_2021_Q3_20211029,CL,2021-10-29,train,30,-4.525919872527624,,-4.83946352439109
CMCSA_2018_Q4_20190123,CMCSA,2019-01-23,train,30,-4.206965006837807,,-4.247612180421836
CMCSA_2019_Q1_20190425,CMCSA,2019-04-25,train,30,-4.471520395045832,,-4.77106031297674
CMCSA_2019_Q2_20190725,CMCSA,2019-07-25,train,30,-4.152446738042049,,-4.607435620647783
CMCSA_2019_Q3_20191024,CMCSA,2019-10-24,val,30,-4.446956621999204,,-4.668720275885377
CMCSA_2019_Q4_20200123,CMCSA,2020-01-23,train,30,-3.840840345151726,,-4.564943822335079
CMCSA_2020_Q1_20200430,CMCSA,2020-04-30,train,30,-3.809434319004733,,-3.248793012534575
CMCSA_2020_Q2_20200730,CMCSA,2020-07-30,train,30,-4.580491071206254,,-4.348975713530934
CMCSA_2020_Q3_20201029,CMCSA,2020-10-29,val,30,-3.9564008789377767,,-4.101923379370136
CMCSA_2020_Q4_20210128,CMCSA,2021-01-28,train,30,-3.985024538728628,,-4.250965941959084
CMCSA_2021_Q1_20210429,CMCSA,2021-04-29,val,30,-4.128747922262751,,-4.532628482384275
CMCSA_2021_Q2_20210729,CMCSA,2021-07-29,train,30,-4.8418562898758735,,-4.54104287785228
CMCSA_2021_Q3_20211028,CMCSA,2021-10-28,train,30,-4.025797103485339,,-4.094506054397475
CMG_2018_Q4_20190206,CMG,2019-02-06,train,30,-3.800966005509088,,-3.9288807048916734
CMG_2019_Q1_20190424,CMG,2019-04-24,train,30,-3.882362109104225,,-4.572910445554601
CMG_2019_Q2_20190723,CMG,2019-07-23,train,30,-4.130584085904741,,-4.576590049220532
CMG_2019_Q3_20191022,CMG,2019-10-22,val,30,-4.112544480400312,,-4.237619672826971
CMG_2019_Q4_20200205,CMG,2020-02-05,val,30,-3.0590896701725927,,-4.727251893596546
CMG_2020_Q1_20200421,CMG,2020-04-21,train,30,-3.537542137812052,,-2.7418960451266265
CMG_2020_Q2_20200722,CMG,2020-07-22,train,30,-3.947186054456908,,-3.828831781524956
CMG_2020_Q3_20201021,CMG,2020-10-21,val,30,-3.673532231654786,,-4.270514360650371
CMG_2020_Q4_20210202,CMG,2021-02-02,val,30,-3.737874017373671,,-4.156723751508404
CMG_2021_Q1_20210421,CMG,2021-04-21,val,30,-4.27286693818596,,-4.247169314479386
CMG_2021_Q2_20210720,CMG,2021-07-20,train,30,-3.8016779944129935,,-4.43720799020595
CMG_2021_Q3_20211021,CMG,2021-10-21,train,30,-4.394819979057146,,-4.345331585434036
