dataset,split,target,horizon,segment,model,condition,n,r2_oos,mse
fincall,temporal,dv,7,test,ticker_only,real,481,-0.1385157059806088,0.47662390273903876
fincall,temporal,dv,15,test,mlp_pastvol,global_shuffle,481,-2.2489953166541152,0.675835710941762
fincall,temporal,dv,15,test,mlp_pastvol,real,481,-2.2489953166541152,0.675835710941762
fincall,temporal,dv,15,test,mlp_pastvol,within_shuffle,481,-2.2489953166541152,0.675835710941762
fincall,temporal,dv,15,test,mlp_text,global_shuffle,481,-0.543650269284756,0.321100486615004
fincall,temporal,dv,15,test,mlp_text,real,481,-0.2649911517748278,0.2631355576329979
fincall,temporal,dv,15,test,mlp_text,within_shuffle,481,-0.3039423610484804,0.27123794487762154
fincall,temporal,dv,15,test,mlp_text_pastvol,global_shuffle,481,-2.5395035933761005,0.7362654280073624
fincall,temporal,dv,15,test,mlp_text_pastvol,real,481,-2.1120564511921405,0.647350543536116
fincall,temporal,dv,15,test,mlp_text_pastvol,within_shuffle,481,-2.115943512265767,0.6481591057001495
fincall,temporal,dv,15,test,ridge_pastvol,global_shuffle,481,-2.8583565868609266,0.8025912359988756
fincall,temporal,dv,15,test,ridge_pastvol,real,481,-2.8583565868609266,0.8025912359988756
fincall,temporal,dv,15,test,ridge_pastvol,within_shuffle,481,-2.8583565868609266,0.8025912359988756
fincall,temporal,dv,15,test,ridge_text,global_shuffle,481,-0.11520863846637863,0.23197873483009313
fincall,temporal,dv,15,test,ridge_text,real,481,0.0152799700959102,0.2048353095732311
fincall,temporal,dv,15,test,ridge_text,within_shuffle,481,0.005730460735346998,0.20682173885946584
fincall,temporal,dv,15,test,ridge_text_pastvol,global_shuffle,481,-3.9103286850887224,1.021415900735186
fincall,temporal,dv,15,test,ridge_text_pastvol,real,481,-3.5857006102914966,0.9538887964030761
