dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_stage1,dm_p_vs_stage2,dm_p_vs_stage3
fincall,combined,dv,30,stack_fusion,test,92,0.11031269792672785,0.2546047969294364,-0.030239260372121768,-0.061057308585866304,,0.5499197848205308,0.0014675140897883313,0.17530705986521136,0.5803713460816138
fincall,combined,dv,30,stack_fusion,val,21,0.05940334347809907,0.21254356404870173,0.12388036422458637,0.05413533834586466,,0.3895904403684933,0.0852568390337104,0.224143313510789,0.092629250901403
fincall,combined,dv,30,stack_fusion_pastvol,test,92,0.11031269792672785,0.2546047969294364,-0.030239260372121768,-0.061057308585866304,,0.5499197848205308,0.0014675140897883313,0.17530705986521136,0.5803713460816138
fincall,combined,dv,30,stack_fusion_pastvol,val,21,0.05940334347809907,0.21254356404870173,0.12388036422458637,0.05413533834586466,,0.3895904403684933,0.0852568390337104,0.224143313510789,0.092629250901403
fincall,combined,har_resid,3,gated_fusion,test,92,0.7985454636649301,0.6937612414269525,-0.15165052295501513,0.13736445576415685,0.1509084650174779,0.2239541440666252,0.6510601005626399,0.2895921310787168,0.1648883625042066
fincall,combined,har_resid,3,gated_fusion,val,21,0.9205989720597798,0.812179922805482,-1.3744324767745377,-0.4030075187969925,0.1509084650174779,0.01138009427952607,0.12411721786760438,0.0232832029302628,0.021711715515774582
fincall,combined,har_resid,3,gated_fusion_pastvol,test,92,0.855188432133253,0.7088309197003756,-0.23334017899398596,0.05080551276772052,0.07474358560882322,0.01661919884946348,0.944013604756884,0.019931690018752397,0.0069572135185837726
fincall,combined,har_resid,3,gated_fusion_pastvol,val,21,0.6912504770016099,0.6605038595155959,-0.7828909568583924,-0.21353383458646616,0.07474358560882322,0.048393450701710077,0.46274858125268503,0.11711080995322155,0.13682038116745862
fincall,combined,har_resid,3,stack_fusion,test,92,1.0256452629313793,0.7671085504747169,-0.4791705133483579,-0.14158507323074424,,0.0024044803422909582,0.2420587674907419,0.002354711272866846,0.006177269963743601
fincall,combined,har_resid,3,stack_fusion,val,21,0.19823787564638848,0.38368238664030374,0.4886997874781338,0.4466165413533834,,0.053359304888767986,0.016809349555143377,0.024292970558917267,0.047062602144168464
fincall,combined,har_resid,3,stack_fusion_pastvol,test,92,1.0256452629313793,0.7671085504747169,-0.4791705133483579,-0.14158507323074424,,0.0024044803422909582,0.2420587674907419,0.002354711272866846,0.006177269963743601
fincall,combined,har_resid,3,stack_fusion_pastvol,val,21,0.19823787564638848,0.38368238664030374,0.4886997874781338,0.4466165413533834,,0.053359304888767986,0.016809349555143377,0.024292970558917267,0.047062602144168464
fincall,combined,har_resid,7,gated_fusion,test,92,0.3530913166719813,0.48120490157675916,-0.38589669186797004,0.016676706980432818,0.08058981001778759,0.03162344378823266,0.6446356899993856,0.027000267307824094,0.014790892554109078
fincall,combined,har_resid,7,gated_fusion,val,21,0.46682608918792146,0.5300778264487102,-0.7643218419406641,-0.12481203007518797,0.08058981001778759,0.0867325205155988,0.3234043654447801,0.047358772826607096,0.21069985102248537
fincall,combined,har_resid,7,gated_fusion_pastvol,test,92,0.38386224267000457,0.48881672754142597,-0.5066737331963234,-0.01798944623221338,0.07201008378176503,0.00338191256162611,0.27662129353806036,0.0022812137655461623,0.0018070995041643437
fincall,combined,har_resid,7,gated_fusion_pastvol,val,21,0.3967133255169465,0.45245308219696456,-0.4993377649823414,-0.09624060150375939,0.07201008378176503,0.20511641855651747,0.5717728176440532,0.10821344680971341,0.5016588083233792
fincall,combined,har_resid,7,stack_fusion,test,92,0.3660971199443334,0.49019304411616954,-0.4369449586453238,-0.12478711992964156,,0.0005417429890819077,0.3399773523865858,0.0003508732923168345,0.001970248546628493
fincall,combined,har_resid,7,stack_fusion,val,21,0.17562813981666905,0.326440860179403,0.33623126403027226,0.4360902255639097,,0.0742222170544931,0.10028492344760032,0.1354926146344514,0.028993737891238342
fincall,combined,har_resid,7,stack_fusion_pastvol,test,92,0.3660971199443334,0.49019304411616954,-0.4369449586453238,-0.12478711992964156,,0.0005417429890819077,0.3399773523865858,0.0003508732923168345,0.001970248546628493
fincall,combined,har_resid,7,stack_fusion_pastvol,val,21,0.17562813981666905,0.326440860179403,0.33623126403027226,0.4360902255639097,,0.0742222170544931,0.10028492344760032,0.1354926146344514,0.028993737891238342
fincall,combined,har_resid,15,gated_fusion,test,92,0.2587344597105141,0.4246349879157295,-0.6307384547412052,0.05742373174315099,0.07357290692689693,0.002612502129561113,0.8173197499766559,0.0030746829598461535,0.0011874353201634829
fincall,combined,har_resid,15,gated_fusion,val,21,0.2203825702582726,0.3596914846632182,-0.5756001229708692,0.34586466165413526,0.07357290692689693,0.14370513963509216,0.8937347735008109,0.12298405509162956,0.3359854891666565
fincall,combined,har_resid,15,gated_fusion_pastvol,test,92,0.29584996992235874,0.4327308899737363,-0.8646682136048454,0.04880799869857198,0.09343930557583441,0.00021663163164163248,0.28915143676329313,0.00034322602503647666,0.00016457236802560048
fincall,combined,har_resid,15,gated_fusion_pastvol,val,21,0.20004488902921688,0.32343360061631127,-0.43019818393417864,0.14586466165413534,0.09343930557583441,0.20925198381778037,0.8316679749599624,0.1879630414904741,0.5317396856148052
fincall,combined,har_resid,15,stack_fusion,test,92,0.23692336081113,0.3891126829189368,-0.4932685647420727,-0.07529015235858408,,0.0002474784730299102,0.6787802718631718,0.00023884841001661986,0.0005450876210024568
